,Unnamed: 0,Date,PitcherID,Pitcher,G,GS,IP,H,K,BB,R,HR,Outs,GS2
3,3,3/20/2024,506433,Yu Darvish,1,1,3.2,2,3,3,0,0,11.0,55.0
6,6,3/20/2024,607192,Tyler Glasnow,1,1,5.0,2,3,4,2,0,15.0,55.0
20,20,3/21/2024,605397,Joe Musgrove,1,1,2.2,7,2,2,5,0,8.0,25.0
24,24,3/21/2024,808967,Yoshinobu Yamamoto,1,1,1.0,4,2,1,5,0,3.0,23.0
34,34,3/28/2024,678394,Brayan Bello,1,1,5.0,5,2,0,2,1,15.0,50.0
36,36,3/28/2024,621244,Jos\xc3\xa9 Berr\xc3\xados,1,1,6.0,6,6,1,2,1,18.0,56.0
37,37,3/28/2024,669456,Shane Bieber,1,1,6.0,4,11,1,0,0,18.0,77.0
41,41,3/28/2024,669203,Corbin Burnes,1,1,6.0,1,11,0,1,1,18.0,76.0
43,43,3/28/2024,622491,Luis Castillo,1,1,5.0,6,5,2,4,1,15.0,41.0
50,50,3/28/2024,641482,Nestor Cortes,1,1,5.0,5,5,2,4,1,15.0,43.0
52,52,3/28/2024,676979,Garrett Crochet,1,1,6.0,5,8,0,1,0,18.0,71.0
54,54,3/28/2024,506433,Yu Darvish,1,1,5.0,5,7,1,1,0,15.0,62.0
55,55,3/28/2024,621107,Zach Eflin,1,1,5.2,6,5,1,6,3,17.0,29.0
56,56,3/28/2024,543135,Nathan Eovaldi,1,1,6.0,4,3,1,2,0,18.0,63.0
60,60,3/28/2024,607536,Kyle Freeland,1,1,2.1,10,2,1,10,1,7.0,-2.0
62,62,3/28/2024,668678,Zac Gallen,1,1,5.0,3,3,2,1,0,15.0,60.0
65,65,3/28/2024,607192,Tyler Glasnow,1,1,6.0,2,5,1,1,1,18.0,66.0
66,66,3/28/2024,680686,Josiah Gray,1,1,4.0,8,6,2,7,2,12.0,17.0
75,75,3/28/2024,656605,Mitch Keller,1,1,5.2,7,3,2,4,0,17.0,47.0
83,83,3/28/2024,641154,Pablo L\xc3\xb3pez,1,1,7.0,4,7,0,1,1,21.0,72.0
84,84,3/28/2024,666200,Jes\xc3\xbas Luzardo,1,1,5.0,2,8,2,2,1,15.0,58.0
94,94,3/28/2024,571945,Miles Mikolas,1,1,4.1,7,5,2,5,2,13.0,26.0
98,98,3/28/2024,593423,Frankie Montas,1,1,6.0,4,4,0,0,0,18.0,72.0
111,111,3/28/2024,666142,Cole Ragans,1,1,6.0,5,9,3,2,1,18.0,57.0
118,118,3/28/2024,663776,Patrick Sandoval,1,1,1.2,6,2,2,3,0,5.0,27.0
123,123,3/28/2024,669373,Tarik Skubal,1,1,6.0,3,6,0,0,0,18.0,76.0
126,126,3/28/2024,657006,Justin Steele,1,1,4.2,3,6,1,1,0,14.0,63.0
134,134,3/28/2024,664285,Framber Valdez,1,1,4.2,5,5,6,3,0,14.0,42.0
138,138,3/28/2024,657277,Logan Webb,1,1,6.0,5,5,2,2,0,18.0,61.0
139,139,3/28/2024,622072,Alex Wood,1,1,3.1,7,3,1,6,0,10.0,29.0
146,146,3/29/2024,671106,Logan Allen,1,1,5.0,6,3,0,3,2,15.0,40.0
150,150,3/29/2024,605135,Chris Bassitt,1,1,5.0,6,6,2,4,1,15.0,42.0
158,158,3/29/2024,650644,Aaron Civale,1,1,6.0,4,6,1,1,1,18.0,63.0
169,169,3/29/2024,690986,Kyle Harrison,1,1,6.0,6,5,0,2,2,18.0,51.0
172,172,3/29/2024,664299,Cristian Javier,1,1,6.0,4,6,1,0,0,18.0,72.0
175,175,3/29/2024,518876,Merrill Kelly,1,1,6.2,3,8,0,1,1,20.0,73.0
177,177,3/29/2024,669923,George Kirby,1,1,6.2,2,8,2,0,0,20.0,80.0
183,183,3/29/2024,676272,Bobby Miller,1,1,6.0,2,11,1,0,0,18.0,81.0
188,188,3/29/2024,605397,Joe Musgrove,1,1,5.2,8,3,1,4,1,17.0,41.0
192,192,3/29/2024,642547,Freddy Peralta,1,1,6.0,1,8,1,1,1,18.0,71.0
193,193,3/29/2024,527048,Mart\xc3\xadn P\xc3\xa9rez,1,1,4.1,6,2,3,1,0,13.0,47.0
195,195,3/29/2024,601713,Nick Pivetta,1,1,6.0,3,10,0,1,1,18.0,71.0
196,196,3/29/2024,640462,A.J. Puk,1,1,2.0,3,1,6,4,0,6.0,23.0
197,197,3/29/2024,615698,Cal Quantrill,1,1,5.0,9,1,1,5,2,15.0,24.0
198,198,3/29/2024,500779,Jose Quintana,1,1,4.2,6,4,2,2,1,14.0,44.0
199,199,3/29/2024,607074,Carlos Rod\xc3\xb3n,1,1,4.1,5,4,3,1,0,13.0,51.0
212,212,3/29/2024,675911,Spencer Strider,1,1,5.0,3,8,2,2,1,15.0,56.0
213,213,3/29/2024,548389,Ross Stripling,1,1,5.0,7,6,2,4,1,15.0,40.0
215,215,3/29/2024,668868,Zack Thompson,1,1,5.1,6,4,2,5,3,16.0,27.0
220,220,3/29/2024,554430,Zack Wheeler,1,1,6.0,5,5,0,0,0,18.0,71.0
231,231,3/30/2024,676440,Tanner Bibee,1,1,4.0,6,4,5,3,0,12.0,37.0
233,233,3/30/2024,674003,Cody Bradford,1,1,5.0,3,6,1,2,1,15.0,56.0
238,238,3/30/2024,686613,Hunter Brown,1,1,4.0,4,5,2,0,0,12.0,57.0
242,242,3/30/2024,656288,Griffin Canning,1,1,5.0,7,2,1,5,1,15.0,35.0
243,243,3/30/2024,656302,Dylan Cease,1,1,4.2,2,6,2,2,0,14.0,60.0
247,247,3/30/2024,571578,Patrick Corbin,1,1,4.1,7,2,1,4,2,13.0,28.0
250,250,3/30/2024,676710,Kutter Crawford,1,1,6.0,3,7,1,0,0,18.0,75.0
265,265,3/30/2024,608331,Max Fried,1,1,0.2,2,1,3,3,0,2.0,26.0
270,270,3/30/2024,669302,Logan Gilbert,1,1,7.0,4,8,1,1,0,21.0,77.0
271,271,3/30/2024,596295,Austin Gomber,1,1,4.2,6,3,3,4,2,14.0,29.0
272,272,3/30/2024,668881,Hunter Greene,1,1,4.2,5,7,4,2,0,14.0,51.0
274,274,3/30/2024,669084,DL Hall,1,1,4.0,6,1,2,2,1,12.0,37.0
278,278,3/30/2024,543294,Kyle Hendricks,1,1,3.2,9,2,2,5,2,11.0,15.0
279,279,3/30/2024,674072,Tommy Henry,1,1,4.0,6,4,2,5,1,12.0,31.0
281,281,3/30/2024,663855,Jordan Hicks,1,1,5.0,3,6,1,0,0,15.0,68.0
292,292,3/30/2024,683003,Jared Jones,1,1,5.2,3,10,2,3,0,17.0,65.0
295,295,3/30/2024,579328,Yusei Kikuchi,1,1,4.1,6,4,3,3,1,13.0,37.0
307,307,3/30/2024,641793,Zack Littell,1,1,6.0,4,6,2,0,0,18.0,70.0
310,310,3/30/2024,607625,Seth Lugo,1,1,6.0,2,4,1,0,0,18.0,74.0
311,311,3/30/2024,458681,Lance Lynn,1,1,4.0,4,5,1,0,0,12.0,59.0
312,312,3/30/2024,628317,Kenta Maeda,1,1,3.1,7,2,1,6,3,10.0,10.0
330,330,3/30/2024,605400,Aaron Nola,1,1,4.1,11,3,1,6,2,13.0,15.0
342,342,3/30/2024,680570,Grayson Rodriguez,1,1,6.0,4,9,1,1,1,18.0,66.0
347,347,3/30/2024,657746,Joe Ryan,1,1,5.1,3,5,1,1,0,16.0,66.0
353,353,3/30/2024,676664,JP Sears,1,1,3.2,6,1,2,5,0,11.0,32.0
354,354,3/30/2024,622663,Luis Severino,1,1,5.0,11,6,0,3,1,15.0,39.0
359,359,3/30/2024,647336,Michael Soroka,1,1,5.0,7,0,3,4,1,15.0,32.0
364,364,3/30/2024,573186,Marcus Stroman,1,1,6.0,4,4,2,0,0,18.0,68.0
371,371,3/30/2024,677960,Ryan Weathers,1,1,4.0,7,5,2,3,0,12.0,42.0
378,378,3/30/2024,808967,Yoshinobu Yamamoto,1,1,5.0,2,5,0,0,0,15.0,71.0
387,387,3/31/2024,542888,Shawn Armstrong,1,1,1.0,3,1,1,1,0,3.0,36.0
393,393,3/31/2024,621112,Paul Blackburn,1,1,7.0,3,3,1,0,0,21.0,77.0
400,400,3/31/2024,471911,Carlos Carrasco,1,1,5.0,6,3,1,3,0,15.0,50.0
406,406,3/31/2024,672282,Reid Detmers,1,1,5.0,2,7,3,1,0,15.0,64.0
411,411,3/31/2024,663559,Bailey Falter,1,1,4.0,5,2,3,6,2,12.0,20.0
413,413,3/31/2024,607200,Erick Fedde,1,1,4.2,5,7,1,2,2,14.0,45.0
414,414,3/31/2024,663372,Ryan Feltner,1,1,5.0,5,4,2,3,1,15.0,45.0
418,418,3/31/2024,656427,Jack Flaherty,1,1,6.0,4,7,0,1,1,18.0,66.0
421,421,3/31/2024,641585,J.P. France,1,1,5.2,6,5,1,3,0,17.0,56.0
425,425,3/31/2024,592332,Kevin Gausman,1,1,4.1,2,6,0,1,1,13.0,59.0
427,427,3/31/2024,592351,Jon Gray,1,1,3.2,7,2,3,5,1,11.0,23.0
439,439,3/31/2024,663623,Jake Irvin,1,1,5.0,7,4,2,3,0,15.0,47.0
441,441,3/31/2024,641726,Daulton Jefferies,1,1,2.0,9,1,0,5,2,6.0,8.0
445,445,3/31/2024,650633,Michael King,1,1,4.0,2,6,7,2,1,12.0,40.0
453,453,3/31/2024,607259,Nick Martinez,1,1,5.0,6,3,1,3,1,15.0,44.0
455,455,3/31/2024,571927,Steven Matz,1,1,5.1,5,3,2,2,0,16.0,55.0
457,457,3/31/2024,656731,Tylor Megill,1,1,4.0,3,4,3,1,0,12.0,53.0
459,459,3/31/2024,682243,Bryce Miller,1,1,5.0,6,6,2,4,2,15.0,36.0
463,463,3/31/2024,641927,Bailey Ober,1,1,1.1,9,1,1,8,3,4.0,-13.0
470,470,3/31/2024,694297,Brandon Pfaadt,1,1,5.0,5,6,0,1,0,15.0,63.0
473,473,3/31/2024,607067,Colin Rea,1,1,5.0,5,2,2,1,0,15.0,55.0
476,476,3/31/2024,669432,Trevor Rogers,1,1,5.0,7,6,4,4,0,15.0,42.0
478,478,3/31/2024,519242,Chris Sale,1,1,5.1,5,7,2,2,1,16.0,53.0
481,481,3/31/2024,657376,Clarke Schmidt,1,1,5.1,7,5,0,3,1,16.0,48.0
485,485,3/31/2024,663903,Brady Singer,1,1,7.0,3,10,1,0,0,21.0,84.0
491,491,3/31/2024,694813,Gavin Stone,1,1,5.0,7,6,1,3,0,15.0,51.0
494,494,3/31/2024,624133,Ranger Su\xc3\xa1rez,1,1,5.0,3,7,1,3,1,15.0,54.0
506,506,3/31/2024,669330,Tyler Wells,1,1,6.0,5,7,0,3,1,18.0,58.0
508,508,3/31/2024,676477,Garrett Whitlock,1,1,5.0,3,8,0,1,0,15.0,69.0
509,509,3/31/2024,696136,Jordan Wicks,1,1,4.0,5,6,3,2,0,12.0,48.0
511,511,4/1/2024,671096,Andrew Abbott,1,1,5.1,3,4,2,2,0,16.0,60.0
522,522,4/1/2024,669854,Ronel Blanco,1,1,9.0,0,7,2,0,0,27.0,97.0
523,523,4/1/2024,671212,Joe Boyle,1,1,2.2,8,4,4,7,0,8.0,15.0
541,541,4/1/2024,641540,Dane Dunning,1,1,6.1,3,7,4,3,2,19.0,50.0
544,544,4/1/2024,623167,Chris Flexen,1,1,4.1,6,1,3,4,0,13.0,37.0
546,546,4/1/2024,670102,Bowden Francis,1,1,5.1,10,7,1,7,3,16.0,18.0
551,551,4/1/2024,502043,Kyle Gibson,1,1,7.0,4,4,2,2,2,21.0,56.0
552,552,4/1/2024,661563,Luis Gil,1,1,4.2,1,6,3,1,0,14.0,63.0
553,553,4/1/2024,594835,Marco Gonzales,1,1,5.0,4,2,2,1,0,15.0,57.0
555,555,4/1/2024,669022,MacKenzie Gore,1,1,5.1,5,6,2,3,0,16.0,55.0
556,556,4/1/2024,676106,Emerson Hancock,1,1,5.1,4,1,1,3,1,16.0,48.0
559,559,4/1/2024,656557,Tanner Houck,1,1,6.0,3,10,0,0,0,18.0,80.0
560,560,4/1/2024,641712,Dakota Hudson,1,1,5.1,4,2,2,0,0,16.0,62.0
561,561,4/1/2024,684007,Shota Imanaga,1,1,6.0,2,9,0,0,0,18.0,81.0
567,567,4/1/2024,665152,Dean Kremer,1,1,5.1,3,5,1,3,2,16.0,48.0
575,575,4/1/2024,640455,Sean Manaea,1,1,6.0,1,8,2,0,0,18.0,78.0
581,581,4/1/2024,663474,Triston McKenzie,1,1,3.1,4,2,2,4,1,10.0,32.0
583,583,4/1/2024,676974,Max Meyer,1,1,5.0,2,4,2,2,1,15.0,54.0
587,587,4/1/2024,450203,Charlie Morton,1,1,5.2,3,6,2,0,0,17.0,70.0
593,593,4/1/2024,669194,Ryne Nelson,1,1,2.2,5,2,4,4,0,8.0,28.0
594,594,4/1/2024,681857,Reese Olson,1,1,5.2,3,3,2,0,0,17.0,67.0
596,596,4/1/2024,572020,James Paxton,1,1,5.0,4,5,5,0,0,15.0,57.0
597,597,4/1/2024,686752,Ryan Pepiot,1,1,5.2,4,3,4,6,1,17.0,37.0
605,605,4/1/2024,650911,Cristopher S\xc3\xa1nchez,1,1,5.0,5,8,1,2,0,15.0,60.0
611,611,4/1/2024,681217,Chase Silseth,1,1,3.0,5,5,2,3,0,9.0,40.0
624,624,4/1/2024,608379,Michael Wacha,1,1,5.0,3,5,1,3,1,15.0,52.0
625,625,4/1/2024,663362,Matt Waldron,1,1,4.0,9,7,1,4,1,12.0,33.0
628,628,4/1/2024,676775,Keaton Winn,1,1,5.0,4,6,1,3,0,15.0,57.0
632,632,4/2/2024,542881,Tyler Anderson,1,1,7.0,4,5,2,0,0,21.0,75.0
633,633,4/2/2024,668933,Graham Ashcraft,1,1,6.0,4,5,1,2,2,18.0,53.0
634,634,4/2/2024,665871,Javier Assad,1,1,6.0,4,5,1,0,0,18.0,71.0
638,638,4/2/2024,678394,Brayan Bello,1,1,5.0,5,6,1,4,2,15.0,40.0
639,639,4/2/2024,621244,Jos\xc3\xa9 Berr\xc3\xados,1,1,6.0,6,2,3,1,1,18.0,51.0
640,640,4/2/2024,669456,Shane Bieber,1,1,6.0,6,9,0,0,0,18.0,73.0
642,642,4/2/2024,518489,Ryan Brasier,1,1,1.0,0,1,1,0,0,3.0,45.0
645,645,4/2/2024,622491,Luis Castillo,1,1,5.2,10,7,1,4,1,17.0,41.0
647,647,4/2/2024,641482,Nestor Cortes,1,1,5.0,8,2,2,3,0,15.0,43.0
649,649,4/2/2024,676979,Garrett Crochet,1,1,7.0,3,8,1,1,1,21.0,73.0
651,651,4/2/2024,506433,Yu Darvish,1,1,7.0,5,6,1,3,1,21.0,61.0
652,652,4/2/2024,621107,Zach Eflin,1,1,6.1,5,5,1,1,0,19.0,68.0
656,656,4/2/2024,607536,Kyle Freeland,1,1,3.1,9,2,3,7,2,10.0,5.0
658,658,4/2/2024,668678,Zac Gallen,1,1,6.0,3,6,3,0,0,18.0,70.0
665,665,4/2/2024,571760,Andrew Heaney,1,1,4.2,4,7,0,1,0,14.0,64.0
669,669,4/2/2024,608344,Cole Irvin,1,1,5.0,7,3,2,4,0,15.0,43.0
675,675,4/2/2024,596001,Jakob Junis,1,1,4.0,3,4,1,1,0,12.0,57.0
680,680,4/2/2024,625643,Reynaldo L\xc3\xb3pez,1,1,6.0,4,5,2,1,0,18.0,66.0
681,681,4/2/2024,666200,Jes\xc3\xbas Luzardo,1,1,5.1,4,5,2,3,1,16.0,50.0
682,682,4/2/2024,679525,Alec Marsh,1,1,7.0,2,5,1,1,0,21.0,78.0
688,688,4/2/2024,571945,Miles Mikolas,1,1,6.0,7,4,1,2,0,18.0,58.0
713,713,4/2/2024,605513,Spencer Turnbull,1,1,5.0,3,7,0,0,0,15.0,71.0
715,715,4/2/2024,664285,Framber Valdez,1,1,7.2,6,5,0,0,0,23.0,79.0
716,716,4/2/2024,686973,Louie Varland,1,1,4.0,6,4,2,3,1,12.0,37.0
721,721,4/2/2024,657277,Logan Webb,1,1,3.2,7,5,2,5,1,11.0,28.0
724,724,4/2/2024,622072,Alex Wood,1,1,5.0,6,7,2,3,0,15.0,52.0
726,726,4/3/2024,671106,Logan Allen,1,1,6.2,4,6,3,0,0,20.0,72.0
730,730,4/3/2024,605135,Chris Bassitt,1,1,4.1,9,3,3,4,1,13.0,27.0
736,736,4/3/2024,669203,Corbin Burnes,1,1,5.2,9,3,0,2,0,17.0,53.0
739,739,4/3/2024,650644,Aaron Civale,1,1,6.0,4,8,2,1,1,18.0,63.0
748,748,4/3/2024,543135,Nathan Eovaldi,1,1,7.0,4,8,1,0,0,21.0,80.0
755,755,4/3/2024,607192,Tyler Glasnow,1,1,6.0,4,7,2,3,1,18.0,56.0
757,757,4/3/2024,690986,Kyle Harrison,1,1,5.0,6,4,3,4,1,15.0,38.0
763,763,4/3/2024,664299,Cristian Javier,1,1,5.0,1,3,5,0,0,15.0,61.0
765,765,4/3/2024,656605,Mitch Keller,1,1,5.1,8,5,2,4,1,16.0,39.0
767,767,4/3/2024,518876,Merrill Kelly,1,1,7.0,5,4,1,2,1,21.0,62.0
770,770,4/3/2024,669923,George Kirby,1,1,3.2,10,2,0,8,0,11.0,20.0
775,775,4/3/2024,681432,Luke Little,1,1,1.0,0,1,0,0,0,3.0,47.0
789,789,4/3/2024,593423,Frankie Montas,1,1,5.2,5,5,3,1,1,17.0,54.0
791,791,4/3/2024,605397,Joe Musgrove,1,1,6.0,5,7,1,1,0,18.0,68.0
795,795,4/3/2024,663978,Chris Paddack,1,1,4.0,6,2,2,2,1,12.0,38.0
801,801,4/3/2024,601713,Nick Pivetta,1,1,5.0,5,3,1,0,0,15.0,61.0
802,802,4/3/2024,640462,A.J. Puk,1,1,4.0,5,5,3,2,0,12.0,47.0
803,803,4/3/2024,615698,Cal Quantrill,1,1,4.0,4,3,4,4,0,12.0,39.0
804,804,4/3/2024,666142,Cole Ragans,1,1,6.1,1,7,2,0,0,19.0,79.0
807,807,4/3/2024,607074,Carlos Rod\xc3\xb3n,1,1,5.1,7,3,2,2,2,16.0,39.0
812,812,4/3/2024,605452,Joe Ross,1,1,3.2,2,3,5,0,0,11.0,51.0
814,814,4/3/2024,663776,Patrick Sandoval,1,1,5.2,4,7,2,2,0,17.0,63.0
824,824,4/3/2024,548389,Ross Stripling,1,1,7.0,8,3,0,1,0,21.0,66.0
827,827,4/3/2024,668868,Zack Thompson,1,1,5.0,5,5,4,3,1,15.0,42.0
832,832,4/3/2024,554430,Zack Wheeler,1,1,6.0,4,10,1,1,0,18.0,73.0
833,833,4/3/2024,592866,Trevor Williams,1,1,5.1,3,5,2,2,0,16.0,61.0
842,842,4/4/2024,676440,Tanner Bibee,1,1,5.1,5,9,0,1,1,16.0,62.0
843,843,4/4/2024,676130,Jos\xc3\xa9 Butt\xc3\xb3,1,1,6.0,3,6,3,1,0,18.0,67.0
857,857,4/4/2024,680686,Josiah Gray,1,1,4.1,7,3,3,6,0,13.0,31.0
861,861,4/4/2024,605288,Adrian Houser,1,1,5.0,3,3,3,1,0,15.0,58.0
867,867,4/4/2024,641154,Pablo L\xc3\xb3pez,1,1,5.2,6,2,1,3,0,17.0,53.0
868,868,4/4/2024,607625,Seth Lugo,1,1,6.2,8,3,2,1,0,20.0,60.0
870,870,4/4/2024,458681,Lance Lynn,1,1,4.2,8,7,1,4,3,14.0,27.0
871,871,4/4/2024,666159,Matt Manning,1,1,5.2,0,3,4,0,0,17.0,69.0
873,873,4/4/2024,663554,Casey Mize,1,1,4.1,5,4,2,3,0,13.0,47.0
878,878,4/4/2024,527048,Mart\xc3\xadn P\xc3\xa9rez,1,1,6.2,6,6,2,2,1,20.0,58.0
888,888,4/4/2024,647336,Michael Soroka,1,1,6.0,6,2,0,2,1,18.0,54.0
890,890,4/4/2024,677960,Ryan Weathers,1,1,5.0,3,6,3,1,1,15.0,55.0
904,904,4/5/2024,674003,Cody Bradford,1,1,7.2,2,4,0,1,0,23.0,83.0
906,906,4/5/2024,686613,Hunter Brown,1,1,3.0,8,3,4,5,1,9.0,16.0
911,911,4/5/2024,656288,Griffin Canning,1,1,4.2,5,4,3,4,3,14.0,26.0
914,914,4/5/2024,656302,Dylan Cease,1,1,6.0,4,7,2,2,0,18.0,65.0
918,918,4/5/2024,571578,Patrick Corbin,1,1,6.0,9,6,3,4,0,18.0,46.0
920,920,4/5/2024,676710,Kutter Crawford,1,1,4.2,2,5,3,1,0,14.0,60.0
929,929,4/5/2024,607200,Erick Fedde,1,1,5.0,6,4,2,1,0,15.0,55.0
934,934,4/5/2024,669302,Logan Gilbert,1,1,5.2,5,7,1,4,3,17.0,39.0
936,936,4/5/2024,596295,Austin Gomber,1,1,4.0,4,7,3,2,0,12.0,51.0
938,938,4/5/2024,668881,Hunter Greene,1,1,6.0,3,6,1,1,0,18.0,71.0
940,940,4/5/2024,543294,Kyle Hendricks,1,1,4.0,8,4,2,5,1,12.0,27.0
941,941,4/5/2024,674072,Tommy Henry,1,1,5.0,6,5,2,2,1,15.0,47.0
942,942,4/5/2024,663855,Jordan Hicks,1,1,7.0,5,5,0,1,0,21.0,74.0
949,949,4/5/2024,683003,Jared Jones,1,1,6.0,6,7,0,2,2,18.0,53.0
950,950,4/5/2024,579328,Yusei Kikuchi,1,1,5.1,4,7,2,0,0,16.0,67.0
958,958,4/5/2024,641793,Zack Littell,1,1,5.0,5,5,0,1,0,15.0,62.0
968,968,4/5/2024,676272,Bobby Miller,1,1,1.2,4,3,2,5,1,5.0,20.0
970,970,4/5/2024,605400,Aaron Nola,1,1,5.2,2,4,4,0,0,17.0,66.0
974,974,4/5/2024,642547,Freddy Peralta,1,1,5.2,4,7,1,3,0,17.0,62.0
977,977,4/5/2024,500779,Jose Quintana,1,1,5.2,5,4,4,1,1,17.0,51.0
981,981,4/5/2024,680570,Grayson Rodriguez,1,1,6.1,6,7,2,2,2,19.0,51.0
986,986,4/5/2024,676664,JP Sears,1,1,5.2,6,1,1,4,2,17.0,37.0
987,987,4/5/2024,663903,Brady Singer,1,1,6.1,2,4,1,1,1,19.0,67.0
988,988,4/5/2024,669373,Tarik Skubal,1,1,6.1,4,9,2,4,2,19.0,51.0
997,997,4/5/2024,675911,Spencer Strider,1,1,4.0,7,4,3,5,1,12.0,27.0
998,998,4/5/2024,573186,Marcus Stroman,1,1,6.0,3,6,1,0,0,18.0,74.0
1014,1014,4/6/2024,641302,Tyler Alexander,1,1,4.1,8,4,2,4,2,13.0,26.0
1026,1026,4/6/2024,621112,Paul Blackburn,1,1,6.0,3,4,0,0,0,18.0,74.0
1031,1031,4/6/2024,471911,Carlos Carrasco,1,1,3.0,1,6,3,1,0,9.0,53.0
1039,1039,4/6/2024,672282,Reid Detmers,1,1,6.0,3,12,1,1,0,18.0,77.0
1044,1044,4/6/2024,663559,Bailey Falter,1,1,6.0,1,1,1,0,0,18.0,73.0
1046,1046,4/6/2024,663372,Ryan Feltner,1,1,6.0,2,10,2,1,0,18.0,75.0
1048,1048,4/6/2024,623167,Chris Flexen,1,1,6.1,6,4,2,3,1,19.0,51.0
1050,1050,4/6/2024,641585,J.P. France,1,1,5.2,8,4,2,3,0,17.0,49.0
1052,1052,4/6/2024,608331,Max Fried,1,1,4.1,10,5,1,7,1,13.0,22.0
1056,1056,4/6/2024,592332,Kevin Gausman,1,1,1.1,4,0,2,5,2,4.0,9.0
1058,1058,4/6/2024,592351,Jon Gray,1,1,3.2,5,3,3,0,0,11.0,49.0
1059,1059,4/6/2024,669084,DL Hall,1,1,5.1,8,5,2,3,0,16.0,48.0
1068,1068,4/6/2024,663623,Jake Irvin,1,1,6.0,5,5,1,4,1,18.0,51.0
1073,1073,4/6/2024,650633,Michael King,1,1,7.0,4,4,1,0,0,21.0,76.0
1084,1084,4/6/2024,628317,Kenta Maeda,1,1,5.2,2,3,4,3,1,17.0,50.0
1085,1085,4/6/2024,607259,Nick Martinez,1,1,5.0,8,6,1,5,0,15.0,43.0
1086,1086,4/6/2024,571927,Steven Matz,1,1,5.0,4,3,1,0,0,15.0,63.0
1088,1088,4/6/2024,682243,Bryce Miller,1,1,7.0,3,7,1,0,0,21.0,81.0
1099,1099,4/6/2024,694297,Brandon Pfaadt,1,1,5.2,8,7,1,5,1,17.0,42.0
1105,1105,4/6/2024,669432,Trevor Rogers,1,1,5.0,5,3,3,2,0,15.0,51.0
1108,1108,4/6/2024,657746,Joe Ryan,1,1,6.0,5,7,0,3,1,18.0,58.0
1112,1112,4/6/2024,657376,Clarke Schmidt,1,1,4.1,6,4,3,2,0,13.0,46.0
1115,1115,4/6/2024,622663,Luis Severino,1,1,5.0,3,7,2,1,0,15.0,64.0
1123,1123,4/6/2024,624133,Ranger Su\xc3\xa1rez,1,1,6.0,4,4,0,2,1,18.0,60.0
1130,1130,4/6/2024,608379,Michael Wacha,1,1,7.0,2,8,1,0,0,21.0,84.0
1134,1134,4/6/2024,669330,Tyler Wells,1,1,5.1,7,3,2,3,1,16.0,42.0
1137,1137,4/6/2024,676477,Garrett Whitlock,1,1,4.1,4,4,4,0,0,13.0,54.0
1138,1138,4/6/2024,696136,Jordan Wicks,1,1,4.2,6,7,1,2,0,14.0,55.0
1140,1140,4/6/2024,676775,Keaton Winn,1,1,6.0,3,1,3,4,1,18.0,47.0
1141,1141,4/6/2024,808967,Yoshinobu Yamamoto,1,1,5.0,3,8,2,0,0,15.0,68.0
1143,1143,4/7/2024,671096,Andrew Abbott,1,1,5.0,7,4,2,2,1,15.0,44.0
1150,1150,4/7/2024,669854,Ronel Blanco,1,1,6.0,1,4,4,0,0,18.0,70.0
1151,1151,4/7/2024,671212,Joe Boyle,1,1,5.0,2,6,3,0,0,15.0,66.0
1161,1161,4/7/2024,676979,Garrett Crochet,1,1,5.0,3,5,0,2,1,15.0,57.0
1165,1165,4/7/2024,641540,Dane Dunning,1,1,6.2,4,7,3,3,1,20.0,58.0
1173,1173,4/7/2024,656427,Jack Flaherty,1,1,6.0,9,5,1,6,1,18.0,37.0
1174,1174,4/7/2024,670102,Bowden Francis,1,1,3.0,2,5,3,5,1,9.0,32.0
1176,1176,4/7/2024,502043,Kyle Gibson,1,1,6.0,7,5,1,7,2,18.0,32.0
1177,1177,4/7/2024,661563,Luis Gil,1,1,4.1,2,8,4,2,0,13.0,56.0
1178,1178,4/7/2024,594835,Marco Gonzales,1,1,6.0,5,4,0,2,0,18.0,64.0
1179,1179,4/7/2024,669022,MacKenzie Gore,1,1,5.2,5,6,2,2,1,17.0,54.0
1181,1181,4/7/2024,676106,Emerson Hancock,1,1,3.1,11,6,1,8,2,10.0,6.0
1184,1184,4/7/2024,656557,Tanner Houck,1,1,6.0,4,7,2,0,0,18.0,71.0
1185,1185,4/7/2024,641712,Dakota Hudson,1,1,6.0,7,4,1,3,0,18.0,55.0
1186,1186,4/7/2024,684007,Shota Imanaga,1,1,4.0,2,3,0,0,0,12.0,63.0
1193,1193,4/7/2024,665152,Dean Kremer,1,1,7.0,5,6,0,0,0,21.0,78.0
1199,1199,4/7/2024,640455,Sean Manaea,1,1,5.0,3,6,2,1,0,15.0,63.0
1200,1200,4/7/2024,679525,Alec Marsh,1,1,4.2,8,3,1,3,0,14.0,44.0
1207,1207,4/7/2024,676974,Max Meyer,1,1,6.0,3,3,1,1,1,18.0,62.0
1212,1212,4/7/2024,669194,Ryne Nelson,1,1,5.0,5,7,0,3,2,15.0,46.0
1215,1215,4/7/2024,686752,Ryan Pepiot,1,1,6.0,3,11,0,0,0,18.0,81.0
1218,1218,4/7/2024,607067,Colin Rea,1,1,6.0,7,3,0,1,0,18.0,62.0
1222,1222,4/7/2024,519242,Chris Sale,1,1,5.1,4,6,0,2,0,16.0,64.0
1223,1223,4/7/2024,650911,Cristopher S\xc3\xa1nchez,1,1,4.1,6,1,3,3,0,13.0,40.0
