,Date,PitcherID,Pitcher,G,GS,IP,H,K,BB,R,HR
82,3/28/2024,642528,Jonathan Lo\xc3\xa1isiga,1,0,2,4,1,0,0,0
83,3/28/2024,641154,Pablo L\xc3\xb3pez,1,1,7,4,7,0,1,1
84,3/28/2024,666200,Jes\xc3\xbas Luzardo,1,1,5,2,8,2,2,1
85,3/28/2024,455119,Chris Martin,1,0,1,1,2,0,0,0
86,3/28/2024,661527,Seth Martinez,1,0,0.1,0,0,1,0,0
87,3/28/2024,664208,Phil Maton,1,0,1,0,0,1,0,0
88,3/28/2024,673513,Yuki Matsui,1,0,1.2,0,0,0,0,0
89,3/28/2024,641835,Tim Mayza,1,0,1,1,2,0,0,0
90,3/28/2024,519008,T.J. McFarland,1,0,1,0,1,0,0,0
91,3/28/2024,543518,Scott McGough,1,0,1,0,1,1,0,0
92,3/28/2024,683232,Nick Mears,1,0,1,0,3,0,0,0
93,3/28/2024,657240,Julian Merryweather,1,0,0.1,0,0,1,0,0
94,3/28/2024,571945,Miles Mikolas,1,1,4.1,7,5,2,5,2
95,3/28/2024,669062,Erik Miller,1,0,1,0,1,0,0,0
96,3/28/2024,571946,Shelby Miller,1,0,1,0,1,0,0,0
97,3/28/2024,683627,Anthony Molina,1,0,0.1,6,0,1,6,0
98,3/28/2024,593423,Frankie Montas,1,1,6,4,4,0,0,0
99,3/28/2024,606160,Rafael Montero,1,0,1,1,0,0,1,1
100,3/28/2024,669212,Eli Morgan,1,0,1,0,0,0,0,0
101,3/28/2024,666205,Kyle Muller,1,0,2.2,1,2,0,0,0
102,3/28/2024,677053,Andrew Nardi,1,0,0.2,2,2,0,2,1
103,3/28/2024,669459,Kyle Nelson,1,0,1,0,1,0,0,0
104,3/28/2024,593576,H\xc3\xa9ctor Neris,1,0,1,1,1,1,0,0
105,3/28/2024,676617,Riley O\'Brien,1,0,1,1,2,2,1,0
106,3/28/2024,682847,Luis Ortiz,1,0,2,0,0,2,0,0
107,3/28/2024,641941,Emilio Pag\xc3\xa1n,1,0,1,2,1,0,2,1
108,3/28/2024,669467,Andre Pallante,1,0,1.2,2,2,0,1,0
109,3/28/2024,663878,Nate Pearson,1,0,1,1,2,0,0,0
110,3/28/2024,519151,Ryan Pressly,1,0,1,2,1,1,1,0
111,3/28/2024,666142,Cole Ragans,1,1,6,5,9,3,2,1
112,3/28/2024,663432,Tanner Rainey,1,0,1,1,0,0,1,0
113,3/28/2024,670950,Trevor Richards,1,0,1,0,1,1,0,0
114,3/28/2024,502085,David Robertson,1,0,1,0,1,2,0,0
115,3/28/2024,570257,Joely Rodr\xc3\xadguez,1,0,1,1,2,0,1,1
116,3/28/2024,664350,Sixto S\xc3\xa1nchez,1,0,1,1,0,0,1,1
117,3/28/2024,680704,Nick Sandlin,1,0,1,0,2,0,0,0
118,3/28/2024,663776,Patrick Sandoval,1,1,1.2,6,2,2,3,0
119,3/28/2024,642048,Tayler Saucedo,1,0,1,2,1,0,1,0
120,3/28/2024,622250,Josh Sborz,1,0,1,2,2,0,0,0
121,3/28/2024,656945,Tanner Scott,1,0,1,0,2,2,0,0
122,3/28/2024,605463,Tayler Scott,1,0,1,0,1,1,0,0
123,3/28/2024,669373,Tarik Skubal,1,1,6,3,6,0,0,0
124,3/28/2024,592767,Drew Smyly,1,0,0.2,1,0,2,0,0
125,3/28/2024,666277,George Soriano,1,0,0.1,2,1,1,0,0
126,3/28/2024,657006,Justin Steele,1,1,4.2,3,6,1,1,0
127,3/28/2024,592779,Brock Stewart,1,0,1,1,0,0,0,0
128,3/28/2024,608717,Chris Stratton,1,0,1,2,1,2,2,0
129,3/28/2024,676702,Hunter Stratton,1,0,0.2,1,1,0,0,0
130,3/28/2024,660761,Jos\xc3\xa9 Suarez,1,0,3.2,2,2,1,3,1
131,3/28/2024,663158,Robert Suarez,1,0,1,1,1,0,1,1
132,3/28/2024,608718,Brent Suter,1,0,2,0,4,0,0,0
133,3/28/2024,622253,Dillon Tate,1,0,1,1,1,2,1,0
134,3/28/2024,664285,Framber Valdez,1,1,4.2,5,5,6,3,0
135,3/28/2024,680767,Victor Vodnik,1,0,2,2,2,1,0,0
136,3/28/2024,608723,Austin Voth,1,0,1,2,1,0,0,0
137,3/28/2024,676254,Ryan Walker,1,0,1,2,1,0,1,0
138,3/28/2024,657277,Logan Webb,1,1,6,5,5,2,2,0
139,3/28/2024,622072,Alex Wood,1,1,3.1,7,3,1,6,0
140,3/28/2024,642232,Ryan Yarbrough,1,0,3,1,1,0,0,0
141,3/28/2024,489446,Kirby Yates,1,0,1,0,1,0,0,0
142,3/28/2024,672582,Angel Zerpa,1,0,1,2,2,0,0,0
143,3/28/2024,670871,Guillo Zu\xc3\xb1iga,1,0,1,0,1,1,0,0
144,3/29/2024,592094,Jason Adam,1,0,1,1,1,0,1,0
145,3/29/2024,613534,Austin Adams,1,0,1,0,0,1,0,0
146,3/29/2024,671106,Logan Allen,1,1,5,6,3,0,3,2
147,3/29/2024,621237,Jos\xc3\xa9 Alvarado,1,0,0.2,3,1,2,5,0
148,3/29/2024,658648,Pedro Avila,1,0,1,1,2,1,2,1
149,3/29/2024,605130,Scott Barlow,1,0,1,0,1,2,1,0
150,3/29/2024,605135,Chris Bassitt,1,1,5,6,6,2,4,1
151,3/29/2024,690925,Clayton Beeter,1,0,1,1,0,0,0,0
152,3/29/2024,656232,Brandon Bielak,1,0,1.2,4,2,0,1,1
153,3/29/2024,656234,Jake Bird,1,0,2,4,0,1,2,1
154,3/29/2024,518489,Ryan Brasier,1,0,1,1,1,0,0,0
155,3/29/2024,641401,Connor Brogdon,1,0,0.1,1,1,2,2,0
156,3/29/2024,607481,Aaron Bummer,1,0,1,1,2,1,1,0
157,3/29/2024,595897,Nick Burdi,1,0,0.2,0,1,1,0,0
158,3/29/2024,650644,Aaron Civale,1,1,6,4,6,1,1,1
159,3/29/2024,661403,Emmanuel Clase,1,0,1,2,0,0,0,0
160,3/29/2024,660853,Enyel De Los Santos,1,0,1.1,1,1,0,0,0
161,3/29/2024,606965,Chris Devenski,1,0,2,1,0,0,0,0
162,3/29/2024,657571,Caleb Ferguson,1,0,1.1,0,1,1,0,0
163,3/29/2024,676596,Josh Fleming,1,0,3,2,3,1,1,0
164,3/29/2024,683769,Hunter Gaddis,1,0,1,0,1,0,0,0
165,3/29/2024,606149,Giovanny Gallegos,1,0,1.2,1,4,0,1,1
166,3/29/2024,656464,Kevin Ginkel,1,0,1,1,0,0,0,0
167,3/29/2024,624647,Victor Gonz\xc3\xa1lez,1,0,0.1,1,0,1,0,0
168,3/29/2024,675627,Michael Grove,1,0,1,3,1,1,3,0
169,3/29/2024,690986,Kyle Harrison,1,1,6,6,5,0,2,2
170,3/29/2024,663773,Bryan Hoeing,1,0,4,2,4,1,1,0
171,3/29/2024,656546,Jeff Hoffman,1,0,0.2,0,1,1,0,0
172,3/29/2024,664299,Cristian Javier,1,1,6,4,6,1,0,0
173,3/29/2024,641729,Joe Jim\xc3\xa9nez,1,0,1,1,1,0,0,0
174,3/29/2024,572955,Pierce Johnson,1,0,1,0,2,0,0,0
175,3/29/2024,518876,Merrill Kelly,1,1,6.2,3,8,0,1,1
176,3/29/2024,641755,Tyler Kinley,1,0,1,1,1,2,0,0
177,3/29/2024,669923,George Kirby,1,1,6.2,2,8,2,0,0
178,3/29/2024,663568,Stephen Kolek,1,0,1,3,1,0,2,0
179,3/29/2024,605347,Jorge L\xc3\xb3pez,1,0,1,2,0,0,1,0
180,3/29/2024,573009,Joe Mantiply,1,0,1,3,2,0,2,0
181,3/29/2024,628708,Yunior Marte,1,0,1,1,1,0,0,0
182,3/29/2024,656730,Trevor Megill,1,0,1,0,0,1,0,0
183,3/29/2024,676272,Bobby Miller,1,1,6,2,11,1,0,0
184,3/29/2024,621345,A.J. Minter,1,0,1,0,2,0,0,0
185,3/29/2024,606160,Rafael Montero,1,0,0.2,0,0,1,0,0
186,3/29/2024,669212,Eli Morgan,1,0,1,0,0,0,0,0
187,3/29/2024,662253,Andr\xc3\xa9s Mu\xc3\xb1oz,1,0,1.1,0,3,0,0,0
188,3/29/2024,605397,Joe Musgrove,1,1,5.2,8,3,1,4,1
189,3/29/2024,656786,Parker Mushinski,1,0,0.1,3,1,1,2,0
190,3/29/2024,641149,Wes Parsons,1,0,3,4,1,1,3,0
191,3/29/2024,606303,Joel Payamps,1,0,1,0,2,0,0,0
192,3/29/2024,642547,Freddy Peralta,1,1,6,1,8,1,1,1
193,3/29/2024,527048,Mart\xc3\xadn P\xc3\xa9rez,1,1,4.1,6,2,3,1,0
194,3/29/2024,623465,Evan Phillips,1,0,1,0,1,0,0,0
195,3/29/2024,601713,Nick Pivetta,1,1,6,3,10,0,1,1
196,3/29/2024,640462,A.J. Puk,1,1,2,3,1,6,4,0
197,3/29/2024,615698,Cal Quantrill,1,1,5,9,1,1,5,2
198,3/29/2024,500779,Jose Quintana,1,1,4.2,6,4,2,2,1
199,3/29/2024,607074,Carlos Rod\xc3\xb3n,1,1,4.1,5,4,3,1,0
200,3/29/2024,643511,Tyler Rogers,1,0,1,1,0,0,1,1
201,3/29/2024,668941,JoJo Romero,1,0,1,0,1,0,0,0
202,3/29/2024,694738,Landen Roupp,1,0,1,1,0,0,0,0
203,3/29/2024,656924,Ryder Ryan,1,0,1.2,1,2,0,0,0
204,3/29/2024,605463,Tayler Scott,1,0,0.1,1,0,2,2,0
205,3/29/2024,572143,Burch Smith,1,0,2,5,2,0,2,0
206,3/29/2024,622098,Drew Smith,1,0,1.1,0,1,0,0,0
207,3/29/2024,666277,George Soriano,1,0,1,0,2,0,0,0
208,3/29/2024,642100,Gabe Speier,1,0,0.1,1,1,0,0,0
209,3/29/2024,687765,Mitch Spence,1,0,3,2,3,3,1,0
210,3/29/2024,592773,Ryne Stanek,1,0,0.2,1,1,1,0,0
211,3/29/2024,621381,Matt Strahm,1,0,0.1,3,1,0,2,0
212,3/29/2024,675911,Spencer Strider,1,1,5,3,8,2,2,1
213,3/29/2024,548389,Ross Stripling,1,1,5,7,6,2,4,1
214,3/29/2024,657044,Ryan Thompson,1,0,0.1,0,1,0,0,0
215,3/29/2024,668868,Zack Thompson,1,1,5.1,6,4,2,5,3
216,3/29/2024,543859,Michael Tonkin,1,0,2,0,2,1,0,0
217,3/29/2024,682842,Abner Uribe,1,0,1,0,0,0,0,0
218,3/29/2024,676254,Ryan Walker,1,0,1,1,0,0,0,0
219,3/29/2024,596133,Luke Weaver,1,0,1.1,0,0,0,0,0
220,3/29/2024,554430,Zack Wheeler,1,1,6,5,5,0,0,0
221,3/29/2024,670174,Josh Winckowski,1,0,2,1,4,2,0,0
222,3/30/2024,650556,Bryan Abreu,1,0,1,2,1,2,3,2
223,3/30/2024,592094,Jason Adam,1,0,1,0,1,0,0,0
224,3/30/2024,660896,Jorge Alcal\xc3\xa1,1,0,0.2,0,0,0,0,0
225,3/30/2024,622075,Yency Almonte,1,0,0.1,1,0,0,0,0
226,3/30/2024,657508,Mike Baumann,1,0,1,2,2,0,1,0
227,3/30/2024,670280,David Bednar,1,0,1,0,1,0,0,0
228,3/30/2024,595881,Tyler Beede,1,0,2,0,3,0,0,0
229,3/30/2024,656222,Jalen Beeks,1,0,0.1,0,0,2,0,0
230,3/30/2024,669622,Anthony Bender,1,0,1,1,3,0,0,0
231,3/30/2024,676440,Tanner Bibee,1,1,4,6,4,5,3,0
232,3/30/2024,621366,Ryan Borucki,1,0,0.2,1,1,0,0,0
233,3/30/2024,674003,Cody Bradford,1,1,5,3,6,1,2,1
234,3/30/2024,605154,John Brebbia,1,0,1,0,0,0,0,0
235,3/30/2024,666745,Jhony Brito,1,0,2.1,0,2,0,0,0
236,3/30/2024,641401,Connor Brogdon,1,0,1,1,0,1,1,1
237,3/30/2024,676962,Ben Brown,1,0,1.2,5,1,2,6,1
238,3/30/2024,686613,Hunter Brown,1,1,4,4,5,2,0,0
239,3/30/2024,656271,Brock Burke,1,0,1,0,1,1,0,0
240,3/30/2024,650893,G\xc3\xa9nesis Cabrera,1,0,1,2,1,0,1,0
241,3/30/2024,663462,Isaiah Campbell,1,0,1,0,2,0,0,0
242,3/30/2024,656288,Griffin Canning,1,1,5,7,2,1,5,1
243,3/30/2024,656302,Dylan Cease,1,1,4.2,2,6,2,2,0
244,3/30/2024,445926,Jesse Chavez,1,0,3,2,1,0,1,1
245,3/30/2024,643256,Adam Cimber,1,0,1,2,1,0,1,0
246,3/30/2024,542585,Jos\xc3\xa9 Cisnero,1,0,1,0,3,0,0,0
247,3/30/2024,571578,Patrick Corbin,1,1,4.1,7,2,1,4,2
248,3/30/2024,676680,Tom Cosgrove,1,0,0.1,5,1,1,6,2
249,3/30/2024,543056,Danny Coulombe,1,0,1,1,1,0,0,0
250,3/30/2024,676710,Kutter Crawford,1,1,6,3,7,1,0,0
251,3/30/2024,686539,Declan Cronin,1,0,1,2,1,1,0,0
252,3/30/2024,518585,Fernando Cruz,1,0,1.1,1,4,0,1,0
253,3/30/2024,621016,Jos\xc3\xa9 Cuas,1,0,1.1,0,2,0,0,0
254,3/30/2024,660853,Enyel De Los Santos,1,0,0.2,2,0,0,0,0
255,3/30/2024,664747,Alexis D\xc3\xadaz,1,0,0.1,2,1,2,3,0
256,3/30/2024,621242,Edwin D\xc3\xadaz,1,0,1,1,1,0,0,0
257,3/30/2024,518617,Jake Diekman,1,0,1,0,1,0,0,0
